Y	tau	Z	SW	alpha
-871261.26078	-180879.866541	-8017.26174705	-543692.289668	-347.824757654
-805336.775102	-180879.866541	-6817.60669921	-46621.2741658	-347.824757654
-794845.303421	-180879.866541	-6694.05348691	-46328.5799382	-347.824757654
-792628.441321	-180879.866541	-6561.20250671	-44833.8754623	-347.824757654
-791802.822016	-180879.866541	-6378.02386708	-43652.59958	-347.824757654
-791403.516542	-180879.866541	-6182.03569119	-42596.8516479	-347.824757654
-791161.238269	-180879.866541	-5983.68733983	-41747.4026853	-347.824757654
-791066.704786	-180879.866541	-5748.6130873	-41093.681054	-347.824757654
-791039.358863	-180879.866541	-5508.42308747	-40671.7259058	-347.824757654
-790929.891392	-180879.866541	-5231.20272809	-37090.6345996	-342.732188727
-790768.477594	-180879.866541	-5158.91347629	-36876.3090812	-342.732188727
-790660.516629	-180879.866541	-5054.91060393	-34996.4058922	-340.185904263
-790624.813548	-180879.866541	-4953.410275	-33095.2183846	-337.6396198
-790638.808854	-180879.866541	-4849.52498944	-31184.1303899	-335.093335336
-790694.375819	-180879.866541	-4801.82677012	-30918.7211691	-335.093335336
-790778.789017	-180879.866541	-4745.34897469	-30635.5639372	-335.093335336
-790889.90159	-180879.866541	-4673.49014388	-30339.565422	-335.093335336
-791043.71825	-180879.866541	-4575.40893712	-30023.6142706	-335.093335336
-791251.400648	-180879.866541	-4433.50918963	-29671.8039768	-335.093335336
-791493.961418	-180879.866541	-4221.73349731	-29304.6016884	-335.093335336
-791747.274224	-180879.866541	-3915.01599653	-28952.5982735	-335.093335336
-791947.766652	-180879.866541	-3556.07661003	-28623.9247757	-335.093335336
-791982.680108	-180879.866541	-3314.5183186	-28341.3915108	-335.093335336
-791905.863959	-180879.866541	-3197.40833793	-28213.4547455	-335.093335336
-791768.738328	-180879.866541	-3134.05079564	-28182.0343142	-335.093335337
-791601.19073	-180879.866541	-3111.50572812	-28160.2743738	-335.093335337
-791454.739975	-180879.866541	-3040.68737718	-26474.4588315	-332.547050873
-791343.807482	-180879.866541	-3032.28203619	-26435.2304131	-332.547050873
-791255.660401	-180879.866541	-2963.21308878	-24732.8389948	-330.000766409
-791184.151012	-180879.866541	-2955.46667737	-24681.4786692	-330.000766409
-791125.865277	-180879.866541	-2948.52471995	-24622.5319923	-330.000766409
-791079.582023	-180879.866541	-2942.59371806	-24555.4032289	-330.000766409
-791042.941456	-180879.866541	-2938.28628314	-24482.9191338	-330.000766409
-791018.297504	-180879.866541	-2936.7586851	-24400.1144944	-330.000766409
-791003.357463	-180879.866541	-2939.56823365	-24315.8143186	-330.000766409
-790997.080029	-180879.866541	-2947.95146011	-24232.7679462	-330.000766409
-790995.951163	-180879.866541	-2962.66849573	-24154.3030061	-330.000766409
-790995.346172	-180879.866541	-2984.53022071	-24087.5886662	-330.000766409
-791003.030777	-180879.866541	-3013.25660101	-24028.4069046	-330.000766409
-791026.269843	-180879.866541	-3047.59572517	-23970.2850629	-330.000766409
-791062.796679	-180879.866541	-3085.42123895	-23914.0180139	-330.000766409
-791103.289216	-180879.866541	-3124.7846408	-23865.2697374	-330.000766409
-791145.934998	-180879.866541	-3163.67095315	-23822.9874102	-330.000766409
-791187.725395	-180879.866541	-3200.53019498	-23785.6325379	-330.000766409
-791227.520026	-180879.866541	-3234.40851454	-23752.9407561	-330.000766409
-791265.721322	-180879.866541	-3264.84407508	-23724.114258	-330.000766409
-791302.077011	-180879.866541	-3291.73697662	-23698.5383502	-330.000766409
-791337.337579	-180879.866541	-3315.1833092	-23675.4264604	-330.000766409
-791371.641297	-180879.866541	-3335.46637095	-23653.6281233	-330.000766409
-791404.754182	-180879.866541	-3352.94760769	-23632.4444532	-330.000766409
-791435.71437	-180879.866541	-3368.027324	-23611.931527	-330.000766409
-791463.080073	-180879.866541	-3381.07426999	-23593.462777	-330.000766409
-791486.651761	-180879.866541	-3392.34895346	-23577.9155638	-330.000766409
